genome	domain	phylum	class	order	family	genus	species
EHA00565_bin.10	d__Bacteria	p__Cyanobacteriota	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__Scatenecus	s__
EHA00565_bin.11	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
EHA00565_bin.13	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__
EHA00565_bin.14	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__Limiplasma	s__
EHA00565_bin.15	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__
EHA00565_bin.16	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Hungatella_A	s__
EHA00565_bin.17	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CHH4-2	s__
EHA00565_bin.18	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__
EHA00565_bin.20	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__UBA3830	f__	g__	s__
EHA00565_bin.24	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Enterocloster	s__
EHA00565_bin.25	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Breznakia	s__
EHA00565_bin.26	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__	s__
EHA00565_bin.27	d__Bacteria	p__Cyanobacteriota	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__Scatousia	s__
EHA00565_bin.29	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__
EHA00565_bin.3	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella variicola
EHA00565_bin.31	d__Bacteria	p__Elusimicrobiota	c__Elusimicrobia	o__Elusimicrobiales	f__Elusimicrobiaceae	g__Avelusimicrobium	s__
EHA00565_bin.33	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__UBA3830	f__UBA3830	g__	s__
EHA00565_bin.4	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-95	s__
EHA00565_bin.8	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium	s__
EHA00566_bin.1	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Dysgonomonadaceae	g__Dysgonomonas	s__Dysgonomonas sp002482385
EHA00566_bin.10	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__
EHA00566_bin.12	d__Bacteria	p__Synergistota	c__Synergistia	o__Synergistales	f__Synergistaceae	g__	s__
EHA00566_bin.13	d__Bacteria	p__Synergistota	c__Synergistia	o__Synergistales	f__Synergistaceae	g__	s__
EHA00566_bin.2	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__FLUQ01	s__
EHA00566_bin.3	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Proteus	s__Proteus sp023454395
EHA00566_bin.4	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter_A	s__
EHA00566_bin.5	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Saezia	s__Saezia sanguinis
EHA00566_bin.6	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Enterococcus faecalis
EHA00566_bin.7	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Pantoea	s__Pantoea rwandensis_B
EHA00566_bin.8	d__Bacteria	p__Desulfobacterota	c__Desulfobacteria	o__Desulfobacterales	f__UBA2174_A	g__	s__
EHA00566_bin.9	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__	s__
EHA00567_bin.1	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Leptotrichiaceae	g__Sebaldella	s__Sebaldella termitidis
EHA00567_bin.2	d__Bacteria	p__Synergistota	c__Synergistia	o__Synergistales	f__Synergistaceae	g__	s__
EHA00567_bin.3	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__	s__
EHA00567_bin.4	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__HY038	s__
EHA00567_bin.5	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Holosporales	f__	g__	s__
EHA00567_bin.6	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter huaxiensis
EHA00567_bin.7	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli
EHA00567_bin.8	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__	s__
EHA00567_bin.9	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__Lactococcus lactis
EHA00568_bin.1	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Clostridium_Q	s__
EHA00568_bin.11	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Breznakia	s__
